token,ShortName,Series,CompanyName,ticksize,Lotsize,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISIN,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,Symbol,InstrumentType,PermittedToTrade,IssueCapital,WarningPercent,FreezePercent,CreditRating,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,BoardLotQty,Name,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,ExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MFill,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,EGM,AGM,Interest,Bonus,Rights,Dividends,LocalUpdateDateTime,DeleteFlag,Remarks,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotlMarketEligibility,SpotMarketEligibility,AuctionlMarketEligibility,MarginPercentage,symbol
20203,URJGLO,EQ,URJA GLOBAL LIMITED,0.01,1,,,0,1.0,INE550C01020,41.65,8.8,41.65,0.77,,,,0,0,0,23.44,15.63,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,URJA
2021,SRE109,YI,SEFL INFRA SR5 LOA 16MR21,0.01,1,,,0,1000.0,INE872A07UP7,5.6,1.85,1068.0,673.0,,,,0,0,0,1281.6,854.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SREINFRA
20213,SUNLIF,SM,SUNREST LIFESCIENCE LIMITED,0.01,1,,,0,10.0,INE0PLZ01012,0.0,0.0,84.0,56.6,,,,0,0,0,70.2,46.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SUNREST
20224,COMENG,EQ,JUPITER WAGONS LIMITED,0.01,1,,,0,10.0,INE209L01016,748.1,266.8,748.1,6.75,,,,0,0,0,613.8,409.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,JWL
2023,SRE110,YJ,8.65% SREI Equi Fin Ltd Mar 23,0.01,1,,,0,1000.0,INE872A07UQ5,5.6,1.85,994.0,605.8,,,,0,0,0,930.06,620.04,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SREINFRA
20233,CLEDU,BE,CL EDUCATE LIMITED,0.01,1,,,0,5.0,INE201M01029,132.6,63.8,132.6,7.05,,,,0,0,0,124.12,112.29,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CLEDUCATE
20242,OBEREA,EQ,OBEROI REALTY LIMITED,0.01,1,,,0,10.0,INE093I01010,2065.2,1051.1,2065.2,153.15,,,,0,0,0,2195.1,1796.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,OBEROIRLTY
2025,SRE111,YK,9% SREI Equi Fin Ltd Mar 23,0.01,1,,,0,1000.0,INE872A07UR3,5.6,1.85,988.0,650.0,,,,0,0,0,990.96,660.64,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SREINFRA
20257,EDESIL,EQ,EDELWEISS SILVER ETF,0.01,1,,,0,10.0,INF754K01SF3,97.97,70.71,97.97,70.71,,,,0,0,0,112.63,75.08,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ESILVER
20261,INDREN,EQ,INDIAN RENEW. ENG.DEV. AGY LTD,0.01,1,,,0,5.0,INE202E01016,310.0,50.0,310.0,50.0,,,,0,0,0,252.03,168.02,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,IREDA
